opencore-amr 0.1.6-2
openexr 3.2.4-1
openh264 2.4.1-1
openjpeg2 2.5.2-1
openresolv 3.13.2-2
openssh 9.9p1-2
openssl 3.4.0-1
openvpn 2.6.12-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
p11-kit 0.25.5-1
p7zip 1:17.05-2
packettracer 8.2.2-1
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm-2.48 2.54.0-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
physfs 3.2.0-2
picom 12.3-2
pinentry 1.3.1-5
pipewire 1:1.2.6-1
pixman 0.44.0-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.1-1
plasma-activities 6.2.3-1
playerctl 2.4.1-4
polkit 125-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
poppler 24.09.0-4
poppler-data 0.4.12-2
poppler-glib 24.09.0-4
poppler-qt6 24.09.0-4
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 16.3-4
powertop 2.15-2
procps-ng 4.0.4-3
protobuf 28.2-3
psmisc 23.7-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.12-3
pulseaudio-bluetooth 17.0-3
purpose 6.7.0-1
python 3.12.7-1
python-attrs 23.2.0-3
python-cairo 1.27.0-1
python-cffi 1.17.1-1
python-cryptography 42.0.8-1
python-dbus 1.3.2-4
python-filelock 3.13.3-2
python-gobject 3.50.0-1
python-packaging 24.1-1
python-pip 24.3.1-1
python-pycparser 2.22-2
python-setproctitle 1.3.3-2
python-wheel 0.44.0-2
qbittorrent 5.0.1-1
qca-qt6 2.3.9-3
qt5-base 5.15.15+kde+r140-1
qt5-declarative 5.15.15+kde+r25-1
qt5-location 5.15.15+kde+r7-1
qt5-multimedia 5.15.15+kde+r2-1
qt5-networkauth 5.15.15+kde+r1-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-script 5.15.18-1
qt5-speech 5.15.15+kde+r1-1
qt5-svg 5.15.15+kde+r5-1
qt5-tools 5.15.15+kde+r3-2
qt5-translations 5.15.15-1
qt5-webchannel 5.15.15+kde+r3-1
qt5-webengine 5.15.18-1
qt5-websockets 5.15.15+kde+r2-1
qt5-x11extras 5.15.15-1
qt6-5compat 6.8.0-1
qt6-base 6.8.0-1
qt6-declarative 6.8.0-4
qt6-imageformats 6.8.0-1
qt6-multimedia 6.8.0-1
qt6-multimedia-ffmpeg 6.8.0-1
qt6-positioning 6.8.0-1
qt6-scxml 6.8.0-1
qt6-shadertools 6.8.0-1
qt6-speech 6.8.0-1
qt6-svg 6.8.0-1
qt6-tools 6.8.0-1
qt6-translations 6.8.0-1
qt6-wayland 6.8.0-1
qt6-webchannel 6.8.0-1
qt6-webengine 6.8.0-7
rav1e 0.7.1-1
rclone 1.68.1-1
re2 1:20240702-2
readline 8.2.013-1
rnnoise 1:0.2-1
rofi 1.7.5-3
rpi-imager 1.9.0-3
rtkit 0.13-3
rubberband 3.3.0-2
run-parts 5.17-1
rust 1:1.82.0-2
samba 2:4.21.1-1
sbc 2.0-2
screen 5.0.0-1
scrub 2.6.1-1
scrub-debug 2.6.1-1
sdl12-compat 1.2.68-2
sdl2 2.30.9-1
sdl2_image 2.8.2-6
sed 4.9-3
sequoia-sqv 1.2.1-1
serf 1.3.10-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
signon-kwallet-extension 24.08.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
sl 5.05-5
slang 2.3.3-3
slop 7.6-5
smbclient 2:4.21.1-1
snappy 1.2.1-2
solid 6.7.0-1
sonnet 6.7.0-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
spandsp 0.0.6-5
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.38.4-2
spicetify-cli-debug 2.38.4-2
spirv-tools 2024.2-1
spotify-launcher 0.6.0-1
sqlite 3.46.1-1
srt 1.5.3-2
startup-notification 0.12-8
steam 1.0.0.81-2
steghide-debug 0.5.1-11
subversion 1.14.3-3
sudo 1.9.16-1
suitesparse 7.8.3-1
supertux 0.6.3-8
svt-av1 2.2.1-1
sxhkd 0.6.2-4
systemd 256.7-1
systemd-libs 256.7-1
systemd-sysvcompat 256.7-1
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tcl 8.6.14-4
tdb 1.4.12-1
telegram-desktop 5.7.2-1
tevent 1:0.16.1-3
texinfo 7.1.1-1
thermald 2.5.8-1
threadweaver 6.7.0-1
thunar 4.18.11-3
tinysparql 3.8.0-1
tk 8.6.15-1
tpm2-tss 4.1.3-1
traceroute 2.1.5-1
tree 2.1.3-1
tree-sitter 0.24.3-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-cascadia-code 2404.23-1
ttf-fantasque-sans-mono 1.8.0-3
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-firacode-nerd 3.2.1-2
